id,text,Subject,Object,Sender,Receiver,Helper,Opponent
UgweLbHouJmZ6vI4ynB4AaABAg,"It's obvious that Hamas wants to dislodge Netanyahu as they realise they will be wiped out soon.

The leftist and grieving family are falling to Hamas mind games playing to their emotions.

Let's not give in to Hamas now as they will come to haunt Isreal just as it did on releasing Shinwa bcoz  public and international pressure.

The families has lost their loved ones and some as hostages and let's not lose more in the near future.

Hamas are planning to take in back, in name of prisoner swap for hostage only to make those released as future terrorist soldiers to fight Isreal and kill even more Israelis.

Looking at the video when the girl claims it's fault of Isreal and its lapse security only reveals it was a forced confession of hatred video taped in early days after the Oct 7th unfortunate attacks.

The mentioning of the specific date is a give away that Hamas wanted to use this video to pressure Isreal to release the terrorist prisoners in Isreal jails.

Further looking at the background walls, it doesn't look like they were in tunnels. The hostage were taken deep into the tunnels at a much later time than when the taping was done.

Hamas is getting nervous and so the reason to release this video to play on the victims families emotion and mind. I think they hv shot their own foot in the process of giving out false and misleading narratives 

As difficult and sad it may be for both sides of the wall - Isreal shd press on to wipe these terror grps for good and discouraged any such future mis-adventurous attacks, leading to more deaths.

Cheers 🥂",,information,hamas,world,,
Ugxgd0CSg83Evy381_N4AaABAg,"Normalising anti semitism, you have reached a new low. What do jews in Australia have to do with the war in Gaza. You are a deadset loser, get a life.",jews,rights/freedoms,,,,video creator
UgzJy-IpUY5K5s-RyEN4AaABAg,"the Palestinian did not leave ""Isreal"" in 11948 , they were evicted  by force, many killed. This is the one of the most important part of the root of the conflict and you totally missed it.",palestine/palestinians,territory,palestine/palestinians,israel/israelis,,israel/israelis
UgyNpDSWUVKMGdS2NiV4AaABAg,"Russia does not want to get involved in two wars on seperate fronts.  That would potentially escalate the world closer to WW3.   Putin is alot of things, dumb he is not.",,,,,,
Ugx_TfN3mQlxkWptn6V4AaABAg,"The origins lie in the 1400 year old history.. Jews have been deported from they own country each time they were invaded.. 1917, 1948, etc..are of no importance...",jews,territory,,,,
UgzNxCTwTvxVmIUrZzJ4AaABAg,"You could disguise explosives as or in capacitors or microprocessors. if one battery was fake then your run time appears to be halved, which one would think is a giveaway.",,,,,,
UgzNGzOB1OFKwOaC5BN4AaABAg,"I almost choked on a drink when you said ""Palestinians have sought self-determination and statehood""... they've CONSTANTLY rejected BOTH...  
Israel has agreed to BOTH OF THOSE repeatedly. The Arabs ALWAYS rejected it- they WANT genocide. 
https://www.youtube.com/watch?v=O7ByJb7QQ9U",palestine/palestinians,territory,israel/israelis,palestine/palestinians,,palestine/palestinians
UgwApDixopKJFYY9YWJ4AaABAg,"Much better u all march and meet Nathanayu beg for their safe return and Israel in their part to stop the war with Palastine ,not inteferance from outsider ,only Palastine and Israel  negociate",,peace,,both sides,,
UgyYNjwUb7lIqzgUcuR4AaABAg,"Blinken gets to make the call about stopping a genocide by Jewish Supremacists?
He's Jewish.
Racists are racists. It doesn't make any difference who the racists are.",jews,violence,,,,
UgxfQLmjMJAhjwy8p4J4AaABAg,"Whole world are watching and witnessing zionist otricities towards Palestinians but do nothing..TALK, TALK N TALK  BUT NO ACTION.
We are complicit.
May God the Almighty have mercy on us.",zionists,violence,zionists,palestine/palestinians,world,
UgxGjceRFFHpKbe9jUN4AaABAg,"I respect Indian Army but why Indian gov dont want to use high tech technology in counter terror ops just to save money, where is our defence budget invested on??. and also I can see still that Iron piece of crap INSAS rifle is used, no proper level of bullet proof vests, Bullet vehicles, No proper eye from sky by drones in ops, lack of battle equipments due to which many of our brave soldiers, special forces mens have lost their lives and have left their jobs too, bureaucrats and most of the officers are corrupt due to which these foreign terrorist infiltrations happen, some times I think is India prepared from multiple drone attacks by neighbouring countries if not then when??. are our tanks and BMPS  capable enough to counter drone attacks do they have anti drone/tank system why can't we manufacture our own make India weapon system instead of buying from foreign countries and modifying them our soldiers are not puppets they need justice✊",,,,,,
UgzzVEP0Dt4K9pieyBZ4AaABAg,"Hello there, May I share the most important news with you? God the Father sent his Holy Son Jesus (Y'shua) to earth to be born of a virgin.  He grew up and died on the cross for our sins.  After that they put Him in a tomb for 3 days, and on the 3rd day Abba Father raised Jesus to life and He appeared to people. Then Christ ascended back to heaven.  We all must genuinely believe in Christ and receive Him into our life as Savior to be saved. John 1:12 says:  “But as many as received him, to them gave he power to become the sons of God, even to them that believe on his name:” King James Version.  Will you put genuine faith in Christ and receive Him into your life today?",,peace,god/allah,world,,
Ugw5YSHdO1wK_zrSFSp4AaABAg,"If you have eyes, it’s obvious. The PM, their security minister, the Israeli president have all said they want to rid the strip of the native inhabitants and starve the population…. 15 of 17 judges on the ICJ has said Israel is committing probable genocide. Just call it for what it is",israel/israelis,violence,israel/israelis,palestine/palestinians,,
Ugx2WqQ-qmX--VjoNz14AaABAg,This theory sucks. At some point the customers had to change the batteries. This was a dormant attack and they were going to have to wait a long time to hit them at the same time. Too much Maxwell Smart stuff.,audience/commenter,information,,,,video creator
UgzHvep02mX3BcbXvFZ4AaABAg,"Thanks for this historical flashback. 
JUSTIC AND PEACE can be achieved only when truth is accepted and applied by all parties involved not by LOOKING ONLY AT 1948+.",both sides,peace,,both sides,,
UgzLLY8335h9CP1yubx4AaABAg,"UNFOLLOWED!! Ya'll should too! I recommend channels like al mayadeen , press tv even al manar tv if you want to follow accurate, unbias non-sectarian  news in the Mediterranean region.",audience/commenter,information,,audience/commenter,,video creator
UgzNj6bH3FjR01_JZOJ4AaABAg,"Exactly what is a ""settlement""?  

I don't understand.  Someone, please tell me?

If you live in your house peacefully, for years, then without your knowledge, the settlers can take ownership of it?  

Maybe this is some new international law?",palestine/palestinians,territory,palestine/palestinians,zionists,,zionists
Ugw1dFyn-RvtwqeBHWx4AaABAg,"It is a war crime against humanity, where is the nation of Muhammad, where are you, you who have identified with Zionism the Emirates, Morocco, Bahrain, Egypt, Jordan and Sudan, and I say to me that the world as a whole is a war and a war crime against humanity to Russia and its power, China its greatness, criminal France and America and its tyranny over the weak. Is this your goal and you are the most powerful country in the world, isn’t it? Bombing hospitals in the world is one of the major war crimes and the biggest crime against humanity. Zionism and your plan is to exterminate 2 billion people. Know that the biggest hurricane is coming to you, America, from God’s creation, and it will be more powerful against you than what you are looking at. The Holocaust massacre against defenseless people and humanity. The people of America and your democracy. The democracy of human killing is a crime. A war against humanity",zionists,violence,zionists,palestine/palestinians,,
UgzXCAtNJ2Oq3DLlCDF4AaABAg,It is not antisemitism to speak out against Israeli war crimes. Netanyahu is a criminal. Americans are hesitant to criticize because we harbor a war criminal ourselves. George W Bush.,israel/israelis,violence,,,,
UgxkkiIeGFm-loQphDR4AaABAg,"There are two sides this situation ..
This current generation of Gazans are so brainwashed with hate ( example helped them build tunnel 100,s kilometres) to prove it .. and Isreal has to keep on facing such terrorist attack in future .,  creating a new generation of people in Gaza is better off .. read in between lines 🤷🏽‍♂️🙏🏽",israel/israelis,security/safety,,,,
UgyfbwxvZIPFIMokghl4AaABAg,"Keep talking to convince yourself IP. Nothing justifies savage behaviour. 

As a Tsam whose grandparents were expelled from Greece in the 1940s, I would be appalled if any of my people went to the neighbouring villages in Greece and behaved like savages.",,,,,,
UgyiC-_1xgLmegTQ1fh4AaABAg,"I hope that part 2 will deal with:
1. Did the colonial powers have a right to do the division? It is not addressed strongly enough;
2. Was Palestine empty land, and how does Asher Ginsberg’s observations of Palestine in 1891 relate to this notion;
3. There were serious fights between Jewish settlers and native Arabs in Palestine throughout the 1930s. It is glossed over, thereby underplaying the beginnings of the illegal land claims of the Zionists;
4. There were about 4 or 5 Zionist terror groups, among them the father of Benjamin Netanyahu and Menachem Begin, who famously claimed to be the original terr0rist;
5. Why was the Balfour Declaration addressed to Rothschild, in particular, and was that part of a deal to bring America in to support the British in the war? This piece doesn’t adequately deal with the background to the conflicting promises and why the Brits ultimately favoured the Zionists.
6. This piece also does not adequately deal with the root cause of the current conflict, the Zionists’ master plan of establishing Greater Israel. It is the fulcrum of the manifesto of the Likud Party, founded by Begin.

It is a matter of emphasis and important to understand the degree of culpability of not just the British Empire but also those currently in power in Israel who continue to push the Greater Israel agenda.",audience/commenter,information,video creator,audience/commenter,,video creator
UgxihOsrtALzk5ueQmV4AaABAg,"Hamas आतंकवाद नहीं है फिलिस्तीन के मुसलमान का हक दिलाने के लिए एक आर्मी संगठन है
Dhurv ratee आप गलत बोल रहे हैं मैं आपके विरोध हूं😈",,,,,,
UgxfITnnhdsC_0w_1-h4AaABAg,"Very good on the recent events, from the last decades, not on the history from biblical times though. The Palestinians are not descendants or related in any way to the ancient Philistines; the Romans, when they defeated the Jews in their revolt, renamed the region as ""Syria-Palestine"" as a mockery against the Jews, which is different. Not because anyone living there were descendant of the Philistines. The Philistines were simply extinguished by the Babylonian king Nebuchadnezzar II towards the end of the 7th century BC. Meaning the Philistines were already extinguished 8 centuries before the Romans put out the Jewish revolt in 136 AD and renamed the region.",audience/commenter,information,audience/commenter,audience/commenter,,
UgyZLTN1uFABlfDX55N4AaABAg,"The Trinity 
1John 5 : 7
The Abba Father, The Word ( John 1 : 1 ) and The Holy Spirit or Ghost.

The White Throne Judgement 
1 John 5 : 8
The Spirit,  The Water and The Blood

Infront of 
The Trinity of Unity in Most Holies
The Abba Father, The Word ( John 1 :1,14 ) and The Holy Spirit. 

The Spiritkind 
The Most Holy Ones of
The Most Holy Place in
The Tabernacle.",,,,,,
Ugy1pP_5Kfvmsryms6l4AaABAg,"NBC/MSNBC - you are getting terrifyingly irresponsible.
Basing a report and a headline on AlJazeera from the start isn't state of the art.
But airing that after it is debunked already - is just adding fuel to the fire.",audience/commenter,information,video creator,audience/commenter,,video creator
UgzODAm8U29Jqb-AXXt4AaABAg,"Soo... What I understood was this so please correct me if I'm wrong. I'm trying to understand. 

Britain promised the same land to two different groups: the Israeli and the Palestinians. Both groups historically have lived on this land, but it was mostly Palestinians until at that time and lots of Jews were uprooted by WW2 so were looking for a home. Britain tried to do good by finding a place for the Jews to live, but made a big, rude, oopsie and offered someone else's (Palestinians') home to the Jewish people. 

So now the two have to fight over a small bit of dry land (few water resources) and the Jewish kept expanding and encroaching on the Palestinians to the point where a group of  desperate radicals formed the terrorist group Hamas to tell the Isaeli to back off? Did I get any of that correct? Please help.

Edit: And Jerusalem is important to both groups so they both don't wanna give it up.",both sides,territory,britain,jews,,britain
UgySnQZeeMH8sRd7l_Z4AaABAg,Just because the brits occupied it doesnt mean there were no indigenous people . Britain illegally occupied Palestine and committed horrific atrocities to the Palestinian people. And then they brought jews from Europe because the Europeans couldn’t live peacefully and accept Jews they decided to kick all of them out and pass the guilt to Palestinians for what has happened to the jews it’s Palestineans who are treating jews so unfairly ! Palestinians were killed and murdered on the hands of militarized jew men which the British army armed to fight the Palestinians! Millions of Palestinians we’re slaughtered women men children old and young . Palestinian lands and homes were taken under the watch of the British army that was helping militarize the Jews to attack Palestinians and kill them ! And drive them of their land .,palestine/palestinians,territory,britain,jews,,britain
UgyAF2Y__HAgWSTMF1R4AaABAg,"The way everybody is utterly stuck in their own view leaves zero hope for a peaceful resolution. Having watched the entire discussion twice, trying to increase my understanding of the conflict, I was left with a very bitter aftertaste of hopelessness and I can't say I understand it better now. If this was a school class, the teacher would have to separate the two fighting pupils and just have them sit as far apart from each other as possible. For an outsider to the subject, it looks like complete incompatibility. How is it even possible for two perspectives to be THAT far apart? All people really belong to the human family, no matter what they did or didn't do to each other, no?",both sides,peace,,,,both sides
UgyIFkY8Nv2UueTBZit4AaABAg,"really sad that they didn’t get the lesson.

they absolutely *had* to return to their “site,” and finish their worship service to their pagan gods.

They should have thanked GOD for a second chance to live, and repented of their sins and believed in the Lord Jesus Christ.",,,,,,
Ugz1sRH1-fz8i1iH8eB4AaABAg,There was once a time when warfare occurred at battle fronts with soldiers clearly identifiable with from camoflage to armor... thruout history its been easy to differentiate them from the common civilian. Up until NOW. Nowadays the militias armed and ready to fire hide in basements and on top of school roofs'.. and its US who must suffer. If your neighbor is packing heat and firing at the 'system'... he is putting YOU IN DANGER! This simple common sense doesnt exist today. so sad.,palestine/palestinians,security/safety,,,,hamas
UgxhXuT5OAxDrb33nF14AaABAg,"Hopefully people realize the hostages were forced to say that, they were under duress and fighting for their lives. They were also potentially subjected to months of duress and propaganda",audience/commenter,information,,audience/commenter,,hamas
UgzuWYhQSQJySSnONUt4AaABAg,"Egy harckocsinak nem kell teljesen megsemmisülnie , elég ha harcképtele lesz. Én úgy gondolom ,hogy nagyon sok ember életébe és harci járműbe fog kerülni ez a konfliktus Izraelnek. A városi harci körülmény, a páncélozott eszközök végzete.",,,,,,
UgzEtgn1lx_02vBgOap4AaABAg,Israel is losing the ground warfare.. Impossible to fight an enemy that got iman n faith even ur adversary is far superior.history full of such examples,israel/israelis,power,,,,hamas
UgzmFMHEvT_BN9jk9kF4AaABAg,"للهم احفظ مصر واهلها الطيبين تحيا مصر تحيا فلسطين 
 اللهم انصر اخوننا فى فلسطين المسلمين    اللهم انصر فلسطين واعز  العربية الله المسلمين اللهم امين يارب العالمين  حسبي الله ونعمه الوكيل فى اليهود",,,,,,
UgxMvAGkYPvOkCaUYAF4AaABAg,This is not a cyber attack but rather a terror attack planned years in advance. These are the kind of fil-th that pre WWII Germany had to deal with.,jews,violence,,,,
UgytClTHuhYZCt4yQ6N4AaABAg,The Zionists literally declared multiple rules that they intended to set up a Jewish state. There were multiple millions groups in the area. The idea that they hid their ambitions is bs.,zionists,territory,,,,
UgwxJGBNJt8BhfTBGxF4AaABAg,"Of course they are not in the Hilton Gaza hotel, they are in tunnels made by Israel.  This propaganda doesn't help anymore, sorry for Israel, .  Because the governments that speak of humanity and support are recognized by the media. Do not forget that war.",audience/commenter,information,,,,
UgxJhRg1IVKyyUalidp4AaABAg,"Now, what if I told you the Israelites of old were all children of the Sun, another word black people and not European white like most of the world believe them to be!.",audience/commenter,information,,audience/commenter,,
UgxZ6ia5qJI2z-chznZ4AaABAg,"Thank you so much for this brave video!
I’m going to try to type a long comment. 
I like cats too. And I’m very grateful for this video as I said before.
I heard someone say that it’s an inconvenience to listen about this genocide so often, but we’re in the age of technology and social media. How can we just sit back when we can see everything going on right before our eyes? A genocide occurring while the entire world knows about it is insane, especially when people can become aware of where their tax paying dollars are going.
You’re a really great creator and I enjoy your in depth and informative videos and look forward to reading your book in the future.
Hope that this was long enough.",audience/commenter,information,video creator,audience/commenter,video creator,
Ugz11YfNjN0tK4qPDRt4AaABAg,"Penindasan Yang Dilakukan Israel Selama Beberapa Dekade ,Dunia Seakan Tutup Mata, Tangisan Dan Jeritan Bangsa Palestina Terlalu Lama Di Biarkan 🤔, Bersyukurlah Kita Tidak Dilahirkan Di Palestina Karena Manusia Tidak Dapat Memilih Dimana Dia Dilahirkan ✍️",,,,,,
UgzkR9BI69P_xxn0d9V4AaABAg,Now I understand why the Euphrates is drying up; or rather it should be dried up. The promise to Abraham should not be completed if the river is gone. Save the peace for the Jerusalem in heaven.,,,,,,
Ugz_-U-MXHydGD7lEnJ4AaABAg,"What about the injustice of the United Nations and Washington DC and there human rights violations and their war crimes? And why hasn't the human rights group said anything about the wars that the United States government and NATO has started in Ukraine and in other countries. And now there is NATO countries that wants to force the Ukrainian people back to their own country of Ukraine. But they have not stopped the war yet, so that the people will be safe when they return back to their own country of Ukraine. The injustice of the United Nations security counsel. This is bad for the United Nations security counsel, because your judgment day has arrived.",,rights/freedoms,,,,united nations
UgxtzsQlSfyPCG0gjY14AaABAg,"1:40 while is true that many of palestines were displaced. 80% of the land ( in the shfela, the center of israel) were swamps and were bought with money although noone coulve lived there.",,territory,,,,
UgxL-LrJuPsyy7agZft4AaABAg,For ppl asking why the thumbnail. They were talking about antisemitic propaganda through ww2. The arabs were being indoctrinated by the Nazis and that poster was an example of it,,information,,,,
Ugyu0FFqQC282b0JhpJ4AaABAg,Why should we fight for that crazy blood thirsty moster useless Hamas leader. No one is stupid. Are muslim countries thinking the people in this world are blind and stupid. No people in this world are just understanding to you.,,,,,,
UgzQstdN15uTyOxWj3N4AaABAg,هرجوری میتوانید از خودتون دفاع کنید از این اسراعیلی نهذبترسید نه ازشون بگذرید اینهاهستن که تمام سرزمین شما مردم فلسطین گرفتن وکسانی دیگری جایگزین کردن فقط نگذریدذازشون تمام به درک بفرستید,,,,,,
UgyRi-6qnSccHbe9jaN4AaABAg,Those of you that are really interested in the facts and history read 'Paris 1919' and 'Desert Queen' the life story of Gertrude Bell.  I am afraid our children protesting today have no idea how the Middle East was created.,audience/commenter,information,audience/commenter,audience/commenter,,
UgyMkO8K9nzjlkdGH_54AaABAg,"Not enough meat in your diets to grow a brain, not enough cholesterols to maintain brain health so cognitive reasoning are missing with Greenies. So I'll put it simply to make it easy.
 There is no genocide happening now or in the recent past if you use REAL stats instead of Hamas's, UNWRA and UNs accepted ( illegitimately legitimized) propoganda. Why would anyone ever accept a terrorists organizations claims against its vowed enemy that it has recorded in it's official charter that it intends to exterminate? So why are idiotic politicians using those PROPOGANDA numbers from Hamas? Probably because in their elitist circles the air is so rarified that  thought requires more effort than they can muster. Time to pop their balloons and get them down to reality.",,information,hamas,world,,hamas
UgzwZrITLwILo78n7A94AaABAg,BUTCHER Putin just sent his THUGS to Iran to help BUTCHER KHAMENEI to attack Israel even harder now you saying he is asking BUTCHER KHAMENEI not to attack Israel?????   This is a true FAKE NEWS...!!!!!!!!!,,violence,iran,israel/israelis,,
UgzpGjnKLzkmu0LU1F54AaABAg,"big deal, let the Arabs absorb the refugees.  Kuwait tried, terrible result, Lebanon tried, they got mortally damaged till date, Jordan is  fearful, understandable, bcos, there is inherent hatred, deceit lies and violence   hate within the arab that needs to be analysed and jettisoned. they ain't good neighbours.",arabs,violence,,,,
UgwTVul-1iwHNtpItVV4AaABAg,"Standing with you Israel.  We pray for you every day. O Lord God we lift up all Israelis up to you. Please protect  the IDF, Hostages and the children. We pray for Your Peace of Jerusalem.  Amen we pray for victory over the enemy. Thank for Yair  bringing this truth to us. God please help them to be set free from these terrible enemies. Amen",israel/israelis,security/safety,god/allah,israel/israelis,,
Ugw1ot3nIrM-8yNPs2t4AaABAg,"""Burning down the house"" ,is the current media benchmark of slinging BS for the all mighty dollar! World wide ,since the demise of the paper press dollar took a bad turn with even Daffy Duck finally erasing himself from existence for the youth of today.You can only find solace in this testimony from the Trump bible . Trump phrase 3 chapter seven "" He who can hold his money aloft upon the golden toilet, shall in all inheritance be forever held aloft by people who aren't the best.....Amen""",audience/commenter,information,,,,
UgwgNTPZq9aTwcKwLdR4AaABAg,"I do enjoy listening to these lessons. However near the beginning when he's telling how many Jewish people immigrated to the land of ""Palestine"" after World War 1 & began to slowly displace the Arabs is totally wrong. Jewish people began legally purchasing land. An Arab family who owned large areas of land there sold this land to the Jewish people migrating there. That Arab family that sold much of their land to the migrating Jewish people were Christians, not Muslim Arabs. No Arabs were displaced. The population of the Arabs has steadily increased each decade from the time after World War 1. There are still surviving documents of every Jewish person who purchased land right World War 1. So please do not teach lies & playing with anyone's emotions saying the migrating Jewish people began displacing the Arabs. Please get it right.",jews,territory,arabs,jews,,
Ugx0idgAntcAs26SMEB4AaABAg,"when 9/11 happend none of these clowns were voicing there voice where bush destroyed the whole country but when jews retaliate these no life reporters are making stupid fuzz about it, this is pure racism towards jews, but one thing is for sure NEVER AGAIN !!!!!!!!!!!",jews,rights/freedoms,,,,video creator
Ugyi4vaCETtQY3urP3R4AaABAg,As a muslim i will support plastien and agar israeel ne india par hamla kar diya toh maa kasam israeel me ek jawan ladka nhi bachega,,,,,,
UgxE6JlQYCcN03foXSt4AaABAg,"Hi All, if you are truthful and not fake and want to find out the real reason for zionist to take over Gaza is that Gaza land and resources worth billions of pound of Gas and petrol ⛽️where Palestinians are living on that world 🌎 leaders,  politicians and media will gain from secret contracts with oil 🛢 and gas companies and etc... also as we talk A suez canal path named after the first isreali prime minister is being made too going though gaza  will also bring billions of money every year to zionist and supporters who are funding with money and weapons will again benefit from this blood money and surely will have blood on their hand too.",zionists,territory,palestine/palestinians,zionists,,
UgzgGFyRF667Je-mSB14AaABAg,") In describing the tribulation period, Revelation chapters 6–19 nowhere mentions the church. During the tribulation—also called “the time of trouble for Jacob” (Jeremiah 30:7)—God will again turn His primary attention to Israel (Romans 11:17-31).",,,,,,
UgwF9VPoUSe0kEyEyYh4AaABAg,"Hiding behind the Holocaust while weaponizing the Nakba... *Sickening.*
> 2024-FEB-06: _""Israeli forces soldier uploads a video to Facebook saying the Palestinians don't know what's coming""_ -- MiddleEastEye: https://youtu.be/UsDgqN4HRk0",israel/israelis,violence,,,,
UgwawgDUo7vYbfus_zJ4AaABAg,"thanks for this. I would just comment that however history doesn’t start with the kingdoms of Israel and Judah, rather with the armed conquest of these territories by the Israelites (against populations including philistines and existing cities including Gaza and Ashdod) as narrated in the bible.",israel/israelis,territory,palestine/palestinians,israel/israelis,god/allah,palestine/palestinians
UgylIa_ryzbY97lIkuJ4AaABAg,Flooding the gates of heaven with prayer for these hostages 🙏 Father God in the ALMIGHTY NAME OF JESUS. We command these hostages be sent free unharmed. Immediately Lord🙏🙌✝️🇮🇱🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,israel/israelis,security/safety,god/allah,israel/israelis,,
Ugx3dRQjZUT-g5LD2wJ4AaABAg,"Ofer Cassif
Amira Hass
Miko Peled
Gideon levy
Gabor Mate
Daniel Levy(us/mep)
Ilan Pappé
Max Blumenthal
Norman Finkelstein
Noam Chomsky
Rachel Shabbi
Katie Halper
Dan Cohen
Michael Brooks
Professor Avi Shlaim
Professor Jacqueline Rose
Rabbi Howard Cooper
Professor Brian Klug
Antony Lerman
Barnaby Raine
Miri Weingarten
Gerald Kaufman 
John Mearssheimer
Dr Michael Bremner
Amy Goodman
breaking the silence
b'tselem
Rabbi Dovid Feldman 
Rabbi Yisroel Dovid Weiss
Rabbi Elhanan Beck
Rabbi Yaakov Shapiro

Christopher Hitchens
Peter Oborne
Chris Hedges
Scott Ritter
Jon Stewart
David J Wasserstein
Michael H Hart
Owen Jones
Michael Walker
Gerald Celente
Judge Napolitana
Colonel Douglas MacGregor
Bertrand Russell
Abby Martin
Eva Bartlett
Ryan Dawson
Birth of a nation 'tantura'",,,,,,
UgwXwQuIBeo6d_87rlV4AaABAg,Heavenly Father most high King of kings Lord of lords Jesus Christ Prince of Peace Full of Grace and Mercy forgiver of sinners Praise and Glory All Honor Full in Wisdom never ending and eternal HOLY SPIRIT Thy will be done on Earth as it is in Heaven You Lord are King of the Jews the Holy Lamb of God I am in destress for the hostages taken by Hamas Lord please bless them with your mercy and love may Your HOLY SPIRIT comfort and secure them back to their loved ones in Your mighty name Jesus Christ Amen!,jews,security/safety,god/allah,jews,,hamas
Ugw07_Bx1c7Q7-TDAiV4AaABAg,"You people who listen to mainstream media in America are very gullible and brainwashed, my goodness, what a clueless people. FOX SPEWS how can this company still be in operation for its blatant lies.",audience/commenter,information,video creator,audience/commenter,,video creator
Ugz2o74X5xx5vJWkXGN4AaABAg,"Tysm. This is why I dont support neither. I just want peace for them both. How stupid it is to fight for religion and land while killing innocent ppl🙄 




P.S:As a Christian, im sorry for the European Christians killing jews. Ik its not my fault but i feel bad for the jews.",,peace,,both sides,,both sides
UgxHW7PlfTzEdKJp_FR4AaABAg,"They are nothing but Iran ,they are funded and backed by Iran and take orders from Iran.All this mess in the middle east was caused by Iran ,that is a fact.",iran,power,iran,hamas,,
UgyLiS8R7ndVlBRI_R94AaABAg,The original title along the lines of “why britain is responsible for the arab-israeli conflict” was accurate.  Too bad someone at the IWM lost their nerve.,audience/commenter,information,,,,
UgzUNa8BDJb2zcKPKFt4AaABAg,"It’s not about land or politics anymore. It’s a one sided war,It’s a genocide. Stop comparing it with india-Pakistan issue. That happened ages ago. In today’s educated and technical world,we cannot afford to lose so many innocent lives. Israel is bullshiting palestine right now we all know that. Your video was extremely one sided and bias with the wrong facts just empathizing with Israel cus ur an indian. How about you don’t bring the past or your own country in to this and think about it more humanly. Nothing is more important than someone’s life. Not land. Not money. Not popularity. Not politics. These matters can be solved more maturely,more humanly and more professionally. What was is it to bomb innocent unarmed civilians or new born babies for the land? They don’t even know what’s going on. Israel is severely colonizing,dominating and inhuman. What’s going on right now is not an issue or a conflict. It’s a bloody genocide. I stand with Palestine.",israel/israelis,violence,israel/israelis,palestine/palestinians,,
UgzzXd3_JWOaOfCIjAZ4AaABAg,Oh realy do you think you will kill childrena and no one retaliate ? You killed some one on another land and they dont retaliate? Are you a gansgter ?,,violence,,,,
UgwqRHPBdyqNTSUshgR4AaABAg,"This is what it called the broken world!!! Fall of German, Hungary and Ottoman Empire and the world change and even Russian Empire falls as well. Wish old world are back",,,,,,
